역명,권역,승차인원,하차인원
서울,서울,16701060,16649827
용산,서울,6000682,6157505
행신,경기,914436,878286
일산,경기,457,464
도라산,경기,853,853
서빙고,서울,10,0
영등포,서울,3440680,3516441
안양,경기,192182,166519
수원,경기,5260330,5323229
오산,경기,82513,90305
서정리,경기,25143,29819
평택,경기,2087830,2040068
광명,경기,4941467,4892871
덕소,경기,45792,50573
양평,경기,502407,482610
용문,경기,118286,109003
지평,경기,17957,17276
석불,경기,2638,2812
일신,경기,4953,5010
매곡,경기,4472,4181
양동,경기,81865,84302
삼산,경기,2031,1752
청량리,서울,2534637,2599500
광운대,서울,881,881
동두천,경기,733,733
김유정,강원,2,0
춘천,강원,1202,1195
상봉,서울,190017,213869
부발,경기,57647,60820
서원주,강원,82150,83517
원주,강원,632088,615900
만종,강원,485359,466192
철암,강원,51079,53808
동백산,강원,9993,9872
도계,강원,49511,48424
신기,강원,1278,1130
동해,강원,290935,299986
묵호,강원,125881,106675
정동진,강원,104017,113357
강릉,강원,1391276,1384828
태백,강원,101560,98660
횡성,강원,107874,110877
둔내,강원,59473,60133
평창,강원,112078,115245
진부,강원,157166,158655
성환,충남,27212,35155
천안,충남,2198149,2166615
전의,세종,32575,32771
조치원,세종,1398479,1396980
부강,세종,49391,47758
신탄진,대전,610350,593835
대전,대전,7190808,7274191
옥천,충북,182831,169539
이원,충북,10791,7607
지탄,충북,355,298
심천,충북,6029,6743
각계,충북,372,16
영동,충북,449401,453309
황간,충북,33957,34903
추풍령,충북,16302,15189
서대전,대전,1664014,1602263
계룡,충남,278799,270573
연산,충남,11994,12503
논산,충남,563372,563715
강경,충남,104879,105155
오송,충북,3797768,3735966
청주,충북,119429,128586
오근장,충북,143069,138242
청주공항,충북,46563,53169
증평,충북,111037,106774
음성,충북,66162,65064
아산,충남,383120,351389
온양온천,충남,283502,266129
도고온천,충남,15821,15900
신례원,충남,51969,53042
예산,충남,301378,301766
삽교,충남,109181,103906
홍성,충남,457315,458048
광천,충남,123238,121434
청소,충남,6340,5716
대천,충남,447520,452776
판교,충남,15868,16743
서천,충남,104831,108754
장항,충남,51161,50819
천안아산,충남,3740829,3715260
공주,충남,109958,107570
가남,경기,2592,2172
감곡장호원,충북,11520,8400
앙성온천,충북,4826,4038
웅천,충남,48880,50102
봉양,충북,4021,4297
제천,충북,788340,779964
단양,충북,108858,109999
주덕,충북,43063,41194
충주,충북,381434,368901
삼탄,충북,2203,2338
별어곡,강원,66,32
선평,강원,49,24
정선,강원,5949,6407
나전,강원,191,91
아우라지,강원,1573,1823
쌍룡,강원,1170,742
영월,강원,87975,84280
예미,강원,12863,12187
민둥산,강원,20617,20967
사북,강원,74469,73347
고한,강원,30780,30079
백양사,전남,23068,24882
장성,전남,97695,99695
광주송정,광주,2407487,2443852
나주,전남,417427,409073
다시,전남,2126,2609
함평,전남,32861,33371
무안,전남,3492,4579
몽탄,전남,4187,4424
일로,전남,16991,15887
임성리,전남,3690,3178
목포,전남,902727,914012
극락강,광주,21119,21787
광주,광주,227416,239088
이양,전남,1699,1865
능주,전남,1755,1727
화순,전남,8772,8780
효천,광주,10088,8233
서광주,광주,5879,6179
함열,전북,35047,36395
익산,전북,2435556,2402256
김제,전북,170408,175079
신태인,전북,40296,42858
정읍,전북,521022,532301
삼례,전북,55695,51735
전주,전북,1624751,1619546
임실,전북,38332,37224
오수,전북,32159,32689
남원,전북,370454,373345
군산,전북,182210,193860
대야,전북,2519,2353
곡성,전남,126355,129435
구례구,전남,97741,100255
순천,전남,1175079,1165656
여천,전남,372488,364218
여수엑스포,전남,733850,750353
진상,전남,8803,7516
광양,전남,10429,11734
벌교,전남,8072,8575
조성,전남,4484,3527
예당,전남,4113,3182
득량,전남,4076,3641
보성,전남,25276,24683
명봉,전남,1325,1355
김천,경북,764427,766632
구미,경북,1978650,1994872
약목,경북,44916,51498
왜관,경북,651879,644679
신동,경북,2980,3525
대구,대구,1834877,1836905
동대구,대구,8263464,8300091
경산,경북,958041,926389
남성현,경북,2558,2945
청도,경북,396339,404222
북영천,경북,1711,2181
영천,경북,345168,343225
아화,경북,5764,5767
하양,경북,335226,305764
김천구미,경북,947877,947283
신경주,경북,1082460,1103402
서경주,경북,34364,36287
안강,경북,9247,9000
포항,경북,1349953,1346799
월포,경북,10493,9187
장사,경북,5877,5368
강구,경북,10489,9484
영덕,경북,50450,49801
서대구,대구,401369,396076
풍기,경북,82546,79122
영주,경북,314683,311999
의성,경북,32603,33750
탑리,경북,7706,8339
화본,경북,5799,5082
신녕,경북,1723,2027
옥산,경북,9903,9007
청리,경북,3223,2805
상주,경북,34806,33550
함창,경북,4563,4086
점촌,경북,27371,26737
용궁,경북,2346,2510
개포,경북,4176,2377
예천,경북,13784,12505
봉화,경북,10896,12234
춘양,경북,9065,9924
임기,경북,335,210
현동,경북,1198,1171
분천,경북,62947,55450
양원,경북,3711,2189
승부,경북,5155,9085
석포,경북,5989,6830
안동,경북,365183,359623
상동,경남,34653,31759
밀양,경남,1005462,1020975
삼랑진,경남,148932,150372
원동,경남,43905,46488
물금,경남,399434,376077
화명,부산,77169,64273
구포,부산,1179849,1208836
사상,부산,28205,32468
부산,부산,6397281,6400902
부전,부산,234492,242278
센텀,부산,37372,37183
신해운대,부산,84289,97641
기장,부산,39769,37073
남창,울산,3033,2802
태화강,울산,340404,334240
한림정,경남,5452,6386
진영,경남,211200,206253
창원,경남,271973,294363
마산,경남,538617,536692
중리,경남,33451,28537
함안,경남,29429,28677
군북,경남,24424,24023
반성,경남,11039,11806
진주,경남,452401,442400
완사,경남,3778,3790
북천,경남,10801,11351
횡천,경남,6934,6858
하동,경남 ,29104,30100
울산,울산,1779354,1810724
진례,경남,2607,2072
창원중앙,경남,1066625,1036981
북울산,울산,184349,176661
